date,station,PM2.5,PM10,NO2,SO2,CO,O3,O3.1,month,dayofyear,PM2.5_sub_index,PM10_sub_index,NO2_sub_index,SO2_sub_index,CO_sub_index,O3_sub_index,AQI,AQI_category,latitude,longitude
2023-03-17,Chennai_Alandur_2023-10-01_2023-11-30,47.10166666666667,72.48440972222222,14.968090277777778,22.093645833333337,1.482534722222222,18.163125,18.163125,3,76,78.20626436781609,72.48440972222222,18.710112847222224,27.617057291666672,71.82689043209875,18.163125,78.20626436781609,Satisfactory,13.0012,80.2014
2023-03-17,Delhi_AnandVihar_2023-10-01_2023-11-30,105.02083333333331,274.0416666666667,69.56666666666666,27.259375,1.70625,27.647916666666664,27.647916666666664,3,76,248.86422413793096,224.04166666666669,86.89145299145298,34.07421875,84.00694444444444,27.647916666666664,248.86422413793096,Poor,28.6476,77.3158
2023-03-17,Kolkata_Victoria_2023-10-01_2023-11-30,48.80303030303031,74.9409420289855,10.650138888888888,7.045555555555556,1.0471875,40.02236111111111,40.02236111111111,3,76,81.08098223615467,74.9409420289855,13.31267361111111,8.806944444444444,,40.02236111111111,81.08098223615467,Satisfactory,22.5448,88.3426
2023-03-17,Mumbai_Bandra_2023-10-01_2023-11-30,,,,,,,,3,76,,,,,,,,Unknown,19.0544,72.8402
2023-03-18,Chennai_Alandur_2023-10-01_2023-11-30,31.926111111111112,49.119062500000005,17.917430555555555,21.434270833333333,1.434236111111111,15.09972222222222,15.09972222222222,3,77,52.56480842911878,49.119062500000005,22.396788194444444,26.792838541666665,69.19729938271604,15.09972222222222,69.19729938271604,Satisfactory,13.0012,80.2014
2023-03-18,Delhi_AnandVihar_2023-10-01_2023-11-30,67.09375,127.71875,59.92395833333333,23.822916666666668,1.6354166666666667,21.73333333333333,21.73333333333333,3,77,121.80280172413794,118.75272651006712,74.77625534188034,29.778645833333336,80.15046296296296,21.73333333333333,121.80280172413794,Moderate,28.6476,77.3158
2023-03-18,Kolkata_Victoria_2023-10-01_2023-11-30,50.424019607843135,122.33442028985507,10.825277777777778,8.548159722222222,1.1565625,25.90454861111111,25.90454861111111,3,77,83.8198951994591,115.1752188503064,13.531597222222222,10.685199652777778,54.07951388888888,25.90454861111111,115.1752188503064,Moderate,22.5448,88.3426
2023-03-18,Mumbai_Bandra_2023-10-01_2023-11-30,,,,,,,,3,77,,,,,,,,Unknown,19.0544,72.8402
2023-03-19,Chennai_Alandur_2023-10-01_2023-11-30,31.009479166666665,47.70631944444444,15.232326388888888,18.82180555555556,1.491284722222222,14.72454861111111,14.72454861111111,3,78,51.0160165229885,47.70631944444444,19.04040798611111,23.52725694444445,72.30327932098764,14.72454861111111,72.30327932098764,Satisfactory,13.0012,80.2014
2023-03-19,Delhi_AnandVihar_2023-10-01_2023-11-30,108.65625,258.7708333333333,70.378125,28.34375,2.377083333333333,33.33645833333333,33.33645833333333,3,78,261.2747844827586,208.7708333333333,87.91097756410255,35.4296875,104.47231012658229,33.33645833333333,261.2747844827586,Poor,28.6476,77.3158
2023-03-19,Kolkata_Victoria_2023-10-01_2023-11-30,20.00108695652174,33.61521739130435,10.674930555555555,5.644513888888889,0.6354513888888889,23.338541666666668,23.338541666666668,3,78,33.335144927536234,33.61521739130435,13.343663194444444,7.055642361111111,31.772569444444443,23.338541666666668,33.61521739130435,Good,22.5448,88.3426
2023-03-19,Mumbai_Bandra_2023-10-01_2023-11-30,,,,,,,,3,78,,,,,,,,Unknown,19.0544,72.8402
2023-03-20,Chennai_Alandur_2023-10-01_2023-11-30,22.30715909090909,34.30965909090909,16.175189393939394,18.61405303030303,1.680416666666667,13.353787878787877,13.353787878787877,3,79,37.178598484848486,34.30965909090909,20.21898674242424,23.267566287878783,82.60046296296298,13.353787878787877,82.60046296296298,Satisfactory,13.0012,80.2014
2023-03-20,Delhi_AnandVihar_2023-10-01_2023-11-30,103.05208333333331,264.5833333333333,58.31098484848485,27.634523809523813,2.5375,30.21770833333333,30.21770833333333,3,79,242.1433189655172,214.5833333333333,72.74969891219891,34.543154761904766,106.48259493670886,30.21770833333333,242.1433189655172,Poor,28.6476,77.3158
2023-03-20,Kolkata_Victoria_2023-10-01_2023-11-30,15.68768115942029,25.41557971014493,10.739305555555555,6.548715277777777,0.6502083333333334,37.25711805555556,37.25711805555556,3,79,26.146135265700483,25.41557971014493,13.424131944444444,8.18589409722222,32.51041666666667,37.25711805555556,37.25711805555556,Good,22.5448,88.3426
2023-03-20,Mumbai_Bandra_2023-10-01_2023-11-30,,,,,,,,3,79,,,,,,,,Unknown,19.0544,72.8402
2023-03-21,Chennai_Alandur_2023-10-01_2023-11-30,30.25770833333333,46.54239583333333,15.698263888888889,19.93482638888889,1.3651041666666668,13.622465277777778,13.622465277777778,3,80,,46.54239583333333,19.62282986111111,24.918532986111117,65.43344907407408,13.622465277777778,65.43344907407408,Satisfactory,13.0012,80.2014
2023-03-21,Delhi_AnandVihar_2023-10-01_2023-11-30,68.85069444444444,159.77430555555557,53.825,26.65520833333333,1.89375,24.994791666666668,24.994791666666668,3,80,127.80064655172411,140.05138422818794,67.11346153846154,33.319010416666664,94.21527777777776,24.994791666666668,140.05138422818794,Moderate,28.6476,77.3158
2023-03-21,Kolkata_Victoria_2023-10-01_2023-11-30,29.5,57.15189393939394,10.844201388888887,8.361666666666666,0.9574305555555556,26.89210144927536,26.89210144927536,3,80,49.16666666666667,57.15189393939394,13.55525173611111,10.452083333333333,47.87152777777778,26.89210144927536,57.15189393939394,Satisfactory,22.5448,88.3426
2023-03-21,Mumbai_Bandra_2023-10-01_2023-11-30,,,,,,,,3,80,,,,,,,,Unknown,19.0544,72.8402
2023-03-22,Chennai_Alandur_2023-10-01_2023-11-30,23.68829861111111,36.44347222222222,13.049479166666666,17.421354166666667,1.2363541666666666,13.260694444444445,13.260694444444445,3,81,39.48049768518519,36.44347222222222,16.311848958333332,21.776692708333336,58.423726851851846,13.260694444444445,58.423726851851846,Satisfactory,13.0012,80.2014
2023-03-22,Delhi_AnandVihar_2023-10-01_2023-11-30,99.125,263.0416666666667,76.64999999999999,26.59340277777778,2.403125,30.76458333333333,30.76458333333333,3,81,228.73706896551724,213.04166666666669,95.79102564102564,33.24175347222222,104.79865506329114,30.76458333333333,228.73706896551724,Poor,28.6476,77.3158
2023-03-22,Kolkata_Victoria_2023-10-01_2023-11-30,42.81979166666667,78.31076388888889,11.143152173913045,14.445520833333331,0.8706597222222222,60.85815972222222,60.85815972222222,3,81,70.97137212643679,78.31076388888889,13.928940217391306,18.056901041666663,43.53298611111111,60.85815972222222,78.31076388888889,Satisfactory,22.5448,88.3426
2023-03-22,Mumbai_Bandra_2023-10-01_2023-11-30,,,,,,,,3,81,,,,,,,,Unknown,19.0544,72.8402
2023-03-23,Chennai_Alandur_2023-10-01_2023-11-30,21.77875,33.50545138888889,13.171631944444444,15.809131944444443,1.496388888888889,11.887222222222222,11.887222222222222,3,82,36.297916666666666,33.50545138888889,16.464539930555556,19.761414930555556,72.58117283950618,11.887222222222222,72.58117283950618,Satisfactory,13.0012,80.2014
2023-03-23,Delhi_AnandVihar_2023-10-01_2023-11-30,121.90972222222224,282.0208333333333,75.11875,27.552777777777777,2.7299242424242425,18.19375,18.19375,3,82,301.6981589147287,232.0208333333333,93.86714743589744,34.44097222222222,108.89398734177216,18.19375,301.6981589147287,Very Poor,28.6476,77.3158
2023-03-23,Kolkata_Victoria_2023-10-01_2023-11-30,31.04891304347826,61.31304347826087,11.064637681159422,8.165902777777777,0.7503125,49.96782608695652,49.96782608695652,3,82,51.082646176911545,61.31304347826087,13.830797101449278,10.20737847222222,37.515625,49.96782608695652,61.31304347826087,Satisfactory,22.5448,88.3426
2023-03-23,Mumbai_Bandra_2023-10-01_2023-11-30,,,,,,,,3,82,,,,,,,,Unknown,19.0544,72.8402
2023-03-24,Chennai_Alandur_2023-10-01_2023-11-30,31.38354166666667,48.282604166666665,14.892083333333334,18.846041666666668,1.34,13.7465625,13.7465625,3,83,51.648053160919545,48.282604166666665,18.61510416666667,23.55755208333333,64.06666666666666,13.7465625,64.06666666666666,Satisfactory,13.0012,80.2014
2023-03-24,Delhi_AnandVihar_2023-10-01_2023-11-30,127.63541666666669,247.79166666666663,66.24895833333333,28.68576388888889,2.93125,26.89021739130435,26.89021739130435,3,83,306.0922965116279,198.53271812080536,82.72305021367521,35.857204861111114,111.41693037974684,26.89021739130435,306.0922965116279,Very Poor,28.6476,77.3158
2023-03-24,Kolkata_Victoria_2023-10-01_2023-11-30,36.121180555555554,71.91215277777778,10.953055555555556,8.786215277777778,0.7682638888888889,64.16940972222223,64.16940972222223,3,83,59.65302921455938,71.91215277777778,13.691319444444446,10.982769097222222,38.41319444444444,64.16940972222223,71.91215277777778,Satisfactory,22.5448,88.3426
2023-03-24,Mumbai_Bandra_2023-10-01_2023-11-30,,,,,,,,3,83,,,,,,,,Unknown,19.0544,72.8402
2023-03-25,Chennai_Alandur_2023-10-01_2023-11-30,20.019513888888888,30.80055555555556,13.778576388888888,18.57239583333333,1.1828125,11.324548611111112,11.324548611111112,3,84,33.36585648148148,30.80055555555556,17.22322048611111,23.215494791666664,55.50868055555556,11.324548611111112,55.50868055555556,Satisfactory,13.0012,80.2014
2023-03-25,Delhi_AnandVihar_2023-10-01_2023-11-30,52.12847222222222,144.63541666666666,53.2375,28.273958333333336,2.413636363636364,21.73333333333333,21.73333333333333,3,84,86.69983237547893,129.9926593959731,66.37532051282051,35.34244791666667,104.93037974683544,21.73333333333333,129.9926593959731,Moderate,28.6476,77.3158
